py,APPROACHES_FROM_100_125_YARDS,APPROACHES_FROM_100_125_YARDS_RGH,APPROACHES_FROM_125_150_YARDS,APPROACHES_FROM_125_150_YARDS_RGH,APPROACHES_FROM_150_175_YARDS,APPROACHES_FROM_150_175_YARDS_RGH,APPROACHES_FROM_175_200_YARDS,APPROACHES_FROM_175_200_YARDS_RGH,APPROACHES_FROM_200_225_YARDS,APPROACHES_FROM_200_225_YARDS_RGH,APPROACHES_FROM_225_250_YARDS,APPROACHES_FROM_225_250_YARDS_RGH,APPROACHES_FROM_250_275_YARDS,APPROACHES_FROM_250_275_YARDS_RGH,APPROACHES_FROM_INSIDE_100_YARDS,APPROACHES_FROM_INSIDE_100_YARDS_RGH,BIRDIE_AVE,BIRDIE_OR_BETTER_CONVESION_PERCENTAGE,BIRDIE_OR_BETTER_PERCENTAGE,BIRDIE_OR_BETTER_PERCENTAGE_FAIRWAY,BIRDIE_OR_BETTER_PERCENTAGE_ROUGH,BOUNCE_BACK,CLUB_HEAD_SPEED,DRIVING_ACCURACY_PERCENTAGE,DRIVING_DISTANCE,EAGLES_HOLES_PER,FAIRWAY_PROXIMITY,FEDEX_REGULAR_SEASON_POINTS,FINAL_ROUND_PERFORMANCE,GREENS_IN_REGULATION_PERCENTAGE,PAR_3_SCORING_AVERAGE,PAR_4_SCORING_AVERAGE,PAR_5_SCORING_AVERAGE,PUTTING_FROM_10_15ft,PUTTING_FROM_15_20ft,PUTTING_FROM_20_25ft,PUTTING_FROM_25ft_plus,PUTTING_INSIDE_10ft,PUTTS_PER_ROUND,ROUGH_PROXIMITY,SAND_SAVE_PERCENTAGE,PLAYER,SEASON_CURRENT,PERCENTAGE_OF_WINNING_PTS,SEASON_NEXT,NEXT_PERCENTAGE_OF_WINNING_PTS
2010_Greg Chalmers,271,267,273,362,322,437,402,623,497,775,595,761,780,740,201,290,3.53,29.19,19.95,22.04,15.65,21.8,110.19,59.8,275.5,279.0,380,558,47.37,66.01,3.02,4.01,4.69,35.22,23.87,10.79,7.05,89.52,28.53,465,57.53,Greg Chalmers,2010,0.30227518959913324,2011,0.236096537250787
2010_Hunter Mahan,275,310,277,347,324,548,376,588,486,739,603,580,761,1073,236,251,3.54,28.31,20.3,22.11,14.47,17.39,112.31,67.94,291.8,151.2,386,1528,44.44,68.65,3.04,4.03,4.66,24.18,20.3,15.56,4.56,87.71,29.6,484,45.75,Hunter Mahan,2010,0.8277356446370531,2011,0.6222455403987408
2010_Ian Poulter,256,328,255,458,347,467,397,816,487,667,746,1433,794,1058,187,397,3.14,26.13,17.69,20.18,10.61,17.27,110.84,62.72,286.8,441.0,387,733,50.0,62.47,3.08,4.07,4.76,28.57,31.03,8.33,4.43,88.38,28.9,548,54.63,Ian Poulter,2010,0.3970747562296858,2011,0.2030430220356768
2010_J.B. Holmes,258,362,287,447,345,460,447,653,498,813,631,1027,809,1018,225,288,3.81,31.8,21.94,22.7,17.8,24.63,122.75,54.45,307.2,128.6,392,1153,58.33,65.5,3.1,4.01,4.55,32.1,14.39,6.61,6.96,87.26,28.86,520,52.83,J.B. Holmes,2010,0.624593716143012,2011,0.3357817418677859
2010_J.J. Henry,278,304,298,454,364,522,398,665,496,906,626,1018,799,1100,191,216,3.3,25.97,18.78,19.46,17.94,22.17,115.86,65.07,292.8,236.6,387,598,50.0,68.72,3.11,4.02,4.62,31.12,15.92,11.61,4.14,88.28,29.7,553,38.24,J.J. Henry,2010,0.323943661971831,2011,0.3142707240293809
2010_J.P. Hayes,231,434,254,435,330,481,434,692,527,868,713,551,777,969,186,254,3.71,29.95,21.03,22.58,11.82,19.81,108.21,64.91,281.0,237.0,373,439,57.14,66.0,3.02,4.03,4.67,31.02,19.13,11.54,7.17,85.47,28.95,503,54.26,J.P. Hayes,2010,0.23781148429035753,2011,0.07712486883525708
2010_James Driscoll,258,408,312,402,339,527,449,601,546,606,661,779,730,954,169,311,3.47,28.31,19.8,22.07,14.95,22.01,118.75,56.96,293.9,200.6,406,340,83.33,66.81,3.09,4.04,4.63,32.02,16.99,15.74,4.35,88.45,29.31,496,53.08,James Driscoll,2010,0.18418201516793067,2011,0.1852046169989507
2010_Jarrod Lyle,221,364,314,367,380,564,430,606,519,1103,634,468,1039,861,197,331,3.46,26.67,19.55,19.84,15.65,19.61,113.06,63.4,296.2,324.0,400,227,77.78,65.34,3.1,4.03,4.66,20.33,21.74,8.22,3.78,87.27,29.24,499,49.33,Jarrod Lyle,2010,0.12296858071505959,2011,0.11385099685204617
2010_Jason Bohn,208,304,271,428,328,495,392,670,441,806,597,1062,905,1479,182,275,3.62,29.03,20.5,23.31,15.06,18.41,109.4,66.89,279.8,252.0,354,926,56.25,67.79,3.02,4.04,4.69,27.93,18.18,16.67,6.51,87.63,29.25,544,40.87,Jason Bohn,2010,0.5016251354279523,2011,0.14900314795383002
2010_Jason Day,242,370,308,426,345,543,391,614,432,792,704,954,854,816,236,257,3.67,28.89,20.73,22.89,14.68,23.18,117.88,57.78,298.2,295.2,385,988,50.0,67.68,3.01,4.03,4.68,27.78,19.87,18.69,6.95,86.92,29.15,522,54.81,Jason Day,2010,0.5352112676056338,2011,0.6862539349422875
